DISTRICT,NAME OF THE HOSPITAL,CONTACT NO,REGULAR BEDS,,,OXYGEN BEDS,,,ICU BEDS (Ventilator/ CPAP),,,TOTAL BEDS,,,LAST UPDATED,,lat,long,phenom_city,phenom_state,phenom_country
,,,TOTAL,OCCUPIED,VACANT,TOTAL,OCCUPIED,VACANT,TOTAL,OCCUPIED,VACANT,TOTAL,OCCUPIED,VACANT,DATE,TIME,,,,,
Adilabad,1. DH UTNOOR,9100157771,42,2,40,10,0,10,8,0,8,60,2,58,30/04/2021,8:13:18 PM,19.67203,78.5359,Adilabad,Telangana,India
Badradri,2. AH BHADRACHALAM,8008553204,25,25,0,72,11,61,30,0,30,127,36,91,30/04/2021,5:18:27 PM,17.6688019,80.8940083,Bhadrachalam,Telangana,India
Badradri,3. AH MANUGURU,9666552288,90,5,85,10,0,10,0,0,0,100,5,95,30/04/2021,3:59:18 PM,,,,,
Badradri,4. AREA HOSPITAL SCCL- YELLANDU,9491145022,20,0,20,0,0,0,0,0,0,20,0,20,30/04/2021,4:03:14 PM,17.5915639,80.3216885,Yellandu,Telangana,India
Badradri,5. DH KOTHAGUDEM,9505577088,150,20,130,98,83,15,12,8,4,260,111,149,01/05/2021,9:30:15 AM,17.5456307,80.6116162,Kothagudem,Telangana,India
Badradri,6. MAIN HOSPITAL SCCL- KOTHAGUDEM,9491144722,108,87,21,12,12,0,18,17,1,138,116,22,01/05/2021,7:15:31 AM,17.5456307,80.6116162,Kothagudem,Telangana,India
Hyderabad,7. AH GOLKONDA,9440938674,15,2,13,0,0,0,0,0,0,15,2,13,30/04/2021,7:24:55 PM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,8. AH MALAKPET,9866244211,15,2,13,0,0,0,0,0,0,15,2,13,01/05/2021,7:50:59 AM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,9. AH NAMPALLY,8008553888,8,0,8,0,0,0,0,0,0,8,0,8,30/04/2021,3:13:40 PM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,10. CHEST HOSPITAL,9949912039,0,0,0,149,146,3,28,28,0,177,174,3,01/05/2021,8:55:04 AM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,11. DISTRICT HOSPITAL - KINGKOTI,9704175272,0,0,0,280,280,0,50,50,0,330,330,0,01/05/2021,8:12:33 AM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,12. ESIC HOSPITAL(GOI),7702985555,50,40,10,85,85,0,14,14,0,149,139,10,01/05/2021,9:40:20 AM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,13. GANDHI HOSPITALS,9966533327,650,0,650,600,371,229,619,619,0,1869,990,879,01/05/2021,9:32:46 AM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,14. GOVT ENT HOSPITAL (OSM),--,202,0,202,0,0,0,0,0,0,202,0,202,30/04/2021,4:05:01 PM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,15. GOVT MENTAL CARE HOSPITAL (OSM),--,70,69,1,0,0,0,0,0,0,70,69,1,01/05/2021,7:58:11 AM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,16. MILITARY HOSPITAL - TIRUMALGERRY,7889529724,210,116,94,156,95,61,25,24,1,391,235,156,29/04/2021,4:21:22 PM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,17. NILOUFER HOSPITAL,94934 50570,4,4,0,12,8,4,8,3,5,24,15,9,30/04/2021,10:46:03 AM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,18. NIMS HOSPITALS,9490296073,107,43,64,49,43,6,17,12,5,173,98,75,30/04/2021,10:11:22 AM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,19. OSMANIA GENERAL HOSPITAL,9493450570,0,0,0,61,46,15,200,93,107,261,139,122,01/05/2021,7:09:28 AM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,20. RAILWAY HOSPITAL - LALAGUDA,9701370514,0,0,0,170,169,1,32,31,1,202,200,2,01/05/2021,6:35:40 AM,17.3886068,78.46080957,Hyderabad,Telangana,India
Hyderabad,21. S R R I T C D GOVT FEVER HOSPITAL,9866349244,36,0,36,0,0,0,100,85,15,136,85,51,01/05/2021,7:02:40 AM,17.3886068,78.46080957,Hyderabad,Telangana,India
Jagtial,22. AH JAGITYAL,9849553737,20,3,17,50,40,10,10,10,0,80,53,27,01/05/2021,7:55:42 AM,18.7956633,78.9162397,Jagtial,Telangana,India
Jagtial,23. CHC METPALLY,9948966077,42,4,38,5,1,4,0,0,0,47,5,42,30/04/2021,5:30:36 PM,18.7956633,78.9162397,Jagtial,Telangana,India
Jangaon,24. DH JANAGAM,9346349960,38,38,0,30,30,0,16,16,0,84,84,0,01/05/2021,7:53:37 AM,17.7243771,79.1570824,Jangaon,Telangana,India
Jayashankar,25. AREA HOSPITAL SCCL- BHOOPALAPALLY,9491144793,87,75,12,4,0,4,0,0,0,91,75,16,01/05/2021,8:31:23 AM,,,,Telangana,India
Jayashankar,26. CHC CHITYAL,9705462662,30,11,19,30,0,30,0,0,0,60,11,49,30/04/2021,4:00:33 PM,,,,,
Jayashankar,27. CHC MAHADEVPUR,9491364812,18,1,17,2,2,0,0,0,0,20,3,17,01/05/2021,8:03:42 AM,,,,,
Jayashankar,28. DH BHUPALPALLY,8639942099,80,14,66,10,0,10,0,0,0,90,14,76,30/04/2021,4:05:36 PM,,,,,
Jogulamba,29. AH ALAMPUR,9640949141,10,0,10,0,0,0,0,0,0,10,0,10,01/05/2021,9:39:11 AM,,,,,
Jogulamba,30. DH GADWAL,6305439971,50,20,30,40,38,2,20,10,10,110,68,42,30/04/2021,11:16:01 PM,,,,,
Kamareddy,31. AH BANSWADA,9985708151,75,1,74,12,0,12,0,0,0,87,1,86,01/05/2021,9:54:47 AM,18.3239953,78.3343051,Kamareddy,Telangana,India
Kamareddy,32. AH DOMAKONDA,9440135380,20,3,17,2,0,2,0,0,0,22,3,19,01/05/2021,8:21:18 AM,18.3239953,78.3343051,Kamareddy,Telangana,India
Kamareddy,33. CHC MADHNOOR,9422173492,10,0,10,2,0,2,0,0,0,12,0,12,30/04/2021,10:38:09 AM,18.3239953,78.3343051,Kamareddy,Telangana,India
Kamareddy,34. CHC YELLAREDDY,9848090968,7,1,6,3,0,3,0,0,0,10,1,9,01/05/2021,8:47:16 AM,18.3239953,78.3343051,Kamareddy,Telangana,India
Kamareddy,35. DH KAMAREDDY,9848346657,73,31,42,20,8,12,20,20,0,113,59,54,01/05/2021,9:40:37 AM,18.3239953,78.3343051,Kamareddy,Telangana,India
Karimnagar,36. DISTRICT HOSPITAL - KARIMNAGAR,9441701979,61,0,61,195,195,0,33,12,21,289,207,82,01/05/2021,9:11:20 AM,18.4346438,79.1322648,Karimnagar,Telangana,India
Karimnagar,37. HUZURABAD CHC,7013873200,15,0,15,0,0,0,10,0,10,25,0,25,29/04/2021,4:24:39 PM,18.4346438,79.1322648,Karimnagar,Telangana,India
Khammam,38. CHC PENUBALLI,9494601892,15,0,15,0,0,0,0,0,0,15,0,15,01/05/2021,9:24:32 AM,14.49679,79.88985,Penuballi,Andhra Pradesh,India
Khammam,39. CHC SATHUPALLY,9848506271,15,0,15,0,0,0,0,0,0,15,0,15,01/05/2021,9:26:02 AM,17.2465351,80.1500326,Khammam,Telangana,India
Khammam,40. DISTRICT HOSPITAL-KHAMMAM,8008553209,50,39,11,220,150,70,50,50,0,320,239,81,30/04/2021,4:46:22 PM,17.2465351,80.1500326,Khammam,Telangana,India
Komaram Bheem,41. CHC ASIFABAD,9618234484,8,0,8,40,18,22,5,0,5,53,18,35,01/05/2021,9:31:09 AM,,,,,
Komaram Bheem,42. CHC SIRPUR(T),7671029978,22,0,22,0,0,0,4,0,4,26,0,26,01/05/2021,9:29:12 AM,,,,,
Komaram Bheem,43. DH ASIFABAD,9618234484,0,0,0,60,18,42,5,0,5,65,18,47,30/04/2021,4:19:17 PM,,,,,
Mahabubabad,44. CHC-GUDUR,9652759857,10,6,4,10,3,7,0,0,0,20,9,11,30/04/2021,5:48:58 PM,,,,,
Mahabubabad,45. DH MAHABUBABAD,8008553175,2,0,2,40,38,2,12,2,10,54,40,14,01/05/2021,9:35:27 AM,,,,,
Mahabubnagar,46. CHC BADEPALLY / JADCHERLA,9946637152,5,0,5,0,0,0,0,0,0,5,0,5,01/05/2021,8:13:25 AM,,,,,
Mahabubnagar,47. GOVT GENERAL HOSPITAL- MAHABUBNAGAR,9292307228,270,12,258,170,147,23,60,29,31,500,188,312,01/05/2021,9:06:09 AM,,,,,
